"word","mapped","confidence","library","target","matched_term","source_kind","source_file"
"aa","no","","","","","",""
"aah","no","","","","","",""
"aahed","no","","","","","",""
"aahing","no","","","","","",""
"aahs","no","","","","","",""
"aal","no","","","","","",""
"aalii","no","","","","","",""
"aaliis","no","","","","","",""
"aals","no","","","","","",""
"aardvark","no","","","","","",""
"aardvarks","no","","","","","",""
"aardwolf","no","","","","","",""
"aardwolves","no","","","","","",""
"aargh","no","","","","","",""
"aarrgh","no","","","","","",""
"aarrghh","no","","","","","",""
"aarti","no","","","","","",""
"aartis","no","","","","","",""
"aas","no","","","","","",""
"aasvogel","no","","","","","",""
"aasvogels","no","","","","","",""
"ab","no","","","","","",""
"aba","no","","","","","",""
"abac","no","","","","","",""
"abaca","no","","","","","",""
"abacas","no","","","","","",""
"abaci","no","","","","","",""
"aback","no","","","","","",""
"abacs","no","","","","","",""
"abacterial","no","","","","","",""
"abactinal","no","","","","","",""
"abactinally","no","","","","","",""
"abactor","no","","","","","",""
"abactors","no","","","","","",""
"abacus","no","","","","","",""
"abacuses","no","","","","","",""
"abaft","no","","","","","",""
"abaka","no","","","","","",""
"abakas","no","","","","","",""
"abalone","no","","","","","",""
"abalones","no","","","","","",""
"abamp","no","","","","","",""
"abampere","no","","","","","",""
"abamperes","no","","","","","",""
"abamps","no","","","","","",""
"aband","no","","","","","",""
"abanded","no","","","","","",""
"abanding","no","","","","","",""
"abandon","no","","","","","",""
"abandoned","no","","","","","",""
"abandonedly","no","","","","","",""
"abandonee","no","","","","","",""
"abandonees","no","","","","","",""
"abandoner","no","","","","","",""
"abandoners","no","","","","","",""
"abandoning","no","","","","","",""
"abandonment","no","","","","","",""
"abandonments","no","","","","","",""
"abandons","no","","","","","",""
"abandonware","no","","","","","",""
"abandonwares","no","","","","","",""
"abands","no","","","","","",""
"abapical","no","","","","","",""
"abas","no","","","","","",""
"abase","no","","","","","",""
"abased","no","","","","","",""
"abasedly","no","","","","","",""
"abasement","no","","","","","",""
"abasements","no","","","","","",""
"abaser","no","","","","","",""
"abasers","no","","","","","",""
"abases","no","","","","","",""
"abash","no","","","","","",""
"abashed","no","","","","","",""
"abashedly","no","","","","","",""
"abashes","no","","","","","",""
"abashing","no","","","","","",""
"abashless","no","","","","","",""
"abashment","no","","","","","",""
"abashments","no","","","","","",""
"abasia","no","","","","","",""
"abasias","no","","","","","",""
"abasing","no","","","","","",""
"abask","no","","","","","",""
"abatable","no","","","","","",""
"abate","no","","","","","",""
"abated","no","","","","","",""
"abatement","no","","","","","",""
"abatements","no","","","","","",""
"abater","no","","","","","",""
"abaters","no","","","","","",""
"abates","no","","","","","",""
"abating","no","","","","","",""
"abatis","no","","","","","",""
"abatises","no","","","","","",""
"abator","no","","","","","",""
"abators","no","","","","","",""
"abattis","no","","","","","",""
"abattises","no","","","","","",""
"abattoir","no","","","","","",""
"abattoirs","no","","","","","",""
"abattu","no","","","","","",""
"abature","no","","","","","",""
"abatures","no","","","","","",""
"abaxial","no","","","","","",""
"abaxile","no","","","","","",""
"abaya","no","","","","","",""
"abayas","no","","","","","",""
"abb","no","","","","","",""
"abba","no","","","","","",""
"abbacies","no","","","","","",""
"abbacy","no","","","","","",""
"abbas","no","","","","","",""
"abbatial","no","","","","","",""
"abbe","no","","","","","",""
"abbed","no","","","","","",""
"abbes","no","","","","","",""
"abbess","no","","","","","",""
"abbesses","no","","","","","",""
"abbey","no","","","","","",""
"abbeys","no","","","","","",""
"abbot","no","","","","","",""
"abbotcies","no","","","","","",""
"abbotcy","no","","","","","",""
"abbots","no","","","","","",""
"abbotship","no","","","","","",""
"abbotships","no","","","","","",""
"abbreviate","no","","","","","",""
"abbreviated","no","","","","","",""
"abbreviates","no","","","","","",""
"abbreviating","no","","","","","",""
"abbreviation","no","","","","","",""
"abbreviations","no","","","","","",""
"abbreviator","no","","","","","",""
"abbreviators","no","","","","","",""
"abbreviatory","no","","","","","",""
"abbreviature","no","","","","","",""
"abbreviatures","no","","","","","",""
"abbs","no","","","","","",""
"abcee","no","","","","","",""
"abcees","no","","","","","",""
"abcoulomb","no","","","","","",""
"abcoulombs","no","","","","","",""
"abdabs","no","","","","","",""
"abdicable","no","","","","","",""
"abdicant","no","","","","","",""
"abdicate","no","","","","","",""
"abdicated","no","","","","","",""
"abdicates","no","","","","","",""
"abdicating","no","","","","","",""
"abdication","no","","","","","",""
"abdications","no","","","","","",""
"abdicative","no","","","","","",""
"abdicator","no","","","","","",""
"abdicators","no","","","","","",""
"abdomen","no","","","","","",""
"abdomens","no","","","","","",""
"abdomina","no","","","","","",""
"abdominal","no","","","","","",""
"abdominally","no","","","","","",""
"abdominals","no","","","","","",""
"abdominoplasty","no","","","","","",""
"abdominous","no","","","","","",""
"abduce","no","","","","","",""
"abduced","no","","","","","",""
"abducens","no","","","","","",""
"abducent","no","","","","","",""
"abducentes","no","","","","","",""
"abduces","no","","","","","",""
"abducing","no","","","","","",""
"abduct","no","","","","","",""
"abducted","no","","","","","",""
"abductee","no","","","","","",""
"abductees","no","","","","","",""
"abducting","no","","","","","",""
"abduction","no","","","","","",""
"abductions","no","","","","","",""
"abductor","no","","","","","",""
"abductores","no","","","","","",""
"abductors","no","","","","","",""
"abducts","no","","","","","",""
"abeam","no","","","","","",""
"abear","no","","","","","",""
"abearing","no","","","","","",""
"abears","no","","","","","",""
"abecedarian","no","","","","","",""
"abecedarians","no","","","","","",""
"abed","no","","","","","",""
"abegging","no","","","","","",""
"abeigh","no","","","","","",""
"abele","no","","","","","",""
"abeles","no","","","","","",""
"abelia","no","","","","","",""
"abelian","no","","","","","",""
"abelias","no","","","","","",""
"abelmosk","no","","","","","",""
"abelmosks","no","","","","","",""
"aberdevine","no","","","","","",""
"aberdevines","no","","","","","",""
"abernethies","no","","","","","",""
"abernethy","no","","","","","",""
"aberrance","no","","","","","",""
"aberrances","no","","","","","",""
"aberrancies","no","","","","","",""
"aberrancy","no","","","","","",""
"aberrant","no","","","","","",""
"aberrantly","no","","","","","",""
"aberrants","no","","","","","",""
"aberrate","no","","","","","",""
"aberrated","no","","","","","",""
"aberrates","no","","","","","",""
"aberrating","no","","","","","",""
"aberration","no","","","","","",""
"aberrational","no","","","","","",""
"aberrations","no","","","","","",""
"abessive","no","","","","","",""
"abessives","no","","","","","",""
"abet","no","","","","","",""
"abetment","no","","","","","",""
"abetments","no","","","","","",""
"abets","no","","","","","",""
"abettal","no","","","","","",""
"abettals","no","","","","","",""
"abetted","no","","","","","",""
"abetter","no","","","","","",""
"abetters","no","","","","","",""
"abetting","no","","","","","",""
"abettor","no","","","","","",""
"abettors","no","","","","","",""
"abeyance","no","","","","","",""
"abeyances","no","","","","","",""
"abeyancies","no","","","","","",""
"abeyancy","no","","","","","",""
"abeyant","no","","","","","",""
"abfarad","no","","","","","",""
"abfarads","no","","","","","",""
"abhenries","no","","","","","",""
"abhenry","no","","","","","",""
"abhenrys","no","","","","","",""
"abhominable","no","","","","","",""
"abhor","no","","","","","",""
"abhorred","no","","","","","",""
"abhorrence","no","","","","","",""
"abhorrences","no","","","","","",""
"abhorrencies","no","","","","","",""
"abhorrency","no","","","","","",""
"abhorrent","no","","","","","",""
"abhorrently","no","","","","","",""
"abhorrer","no","","","","","",""
"abhorrers","no","","","","","",""
"abhorring","no","","","","","",""
"abhorrings","no","","","","","",""
"abhors","no","","","","","",""
"abid","no","","","","","",""
"abidance","no","","","","","",""
"abidances","no","","","","","",""
"abidden","no","","","","","",""
"abide","no","","","","","",""
"abided","no","","","","","",""
"abider","no","","","","","",""
"abiders","no","","","","","",""
"abides","no","","","","","",""
"abiding","no","","","","","",""
"abidingly","no","","","","","",""
"abidings","no","","","","","",""
"abies","no","","","","","",""
"abietic","no","","","","","",""
"abigail","no","","","","","",""
"abigails","no","","","","","",""
"abilities","no","","","","","",""
"ability","no","","","","","",""
"abiogeneses","no","","","","","",""
"abiogenesis","no","","","","","",""
"abiogenetic","no","","","","","",""
"abiogenetically","no","","","","","",""
"abiogenic","no","","","","","",""
"abiogenically","no","","","","","",""
"abiogenist","no","","","","","",""
"abiogenists","no","","","","","",""
"abiological","no","","","","","",""
"abioses","no","","","","","",""
"abiosis","no","","","","","",""
"abiotic","no","","","","","",""
"abiotically","no","","","","","",""
"abiotrophic","no","","","","","",""
"abiotrophies","no","","","","","",""
"abiotrophy","no","","","","","",""
"abirritant","no","","","","","",""
"abirritants","no","","","","","",""
"abirritate","no","","","","","",""
"abirritated","no","","","","","",""
"abirritates","no","","","","","",""
"abirritating","no","","","","","",""
"abitur","no","","","","","",""
"abiturient","no","","","","","",""
"abiturients","no","","","","","",""
"abiturs","no","","","","","",""
"abject","no","","","","","",""
"abjected","no","","","","","",""
"abjecting","no","","","","","",""
"abjection","no","","","","","",""
"abjections","no","","","","","",""
"abjectly","no","","","","","",""
"abjectness","no","","","","","",""
"abjectnesses","no","","","","","",""
"abjects","no","","","","","",""
"abjoint","no","","","","","",""
"abjointed","no","","","","","",""
"abjointing","no","","","","","",""
"abjoints","no","","","","","",""
"abjunction","no","","","","","",""
"abjunctions","no","","","","","",""
"abjuration","no","","","","","",""
"abjurations","no","","","","","",""
"abjure","no","","","","","",""
"abjured","no","","","","","",""
"abjurer","no","","","","","",""
"abjurers","no","","","","","",""
"abjures","no","","","","","",""
"abjuring","no","","","","","",""
"ablactation","no","","","","","",""
"ablactations","no","","","","","",""
"ablate","no","","","","","",""
"ablated","no","","","","","",""
"ablates","no","","","","","",""
"ablating","no","","","","","",""
"ablation","no","","","","","",""
"ablations","no","","","","","",""
"ablatitious","no","","","","","",""
"ablatival","no","","","","","",""
"ablative","no","","","","","",""
"ablatively","no","","","","","",""
"ablatives","no","","","","","",""
"ablator","no","","","","","",""
"ablators","no","","","","","",""
"ablaut","no","","","","","",""
"ablauts","no","","","","","",""
"ablaze","no","","","","","",""
"able","no","","","","","",""
"abled","no","","","","","",""
"ablegate","no","","","","","",""
"ablegates","no","","","","","",""
"ableism","no","","","","","",""
"ableisms","no","","","","","",""
"ableist","no","","","","","",""
"ableists","no","","","","","",""
"abler","no","","","","","",""
"ables","no","","","","","",""
"ablest","no","","","","","",""
"ablet","no","","","","","",""
"ablets","no","","","","","",""
"abling","no","","","","","",""
"ablings","no","","","","","",""
"ablins","no","","","","","",""
"abloom","no","","","","","",""
"ablow","no","","","","","",""
"abluent","no","","","","","",""
