"word","mapped","confidence","library","target","matched_term","source_kind","source_file"
"abuse","yes","phrase-token","setup-classifier","Mental Health Practice","substance abuse","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abused","yes","stem-prefix-candidate","setup-classifier","Mental Health Practice","substance abuse","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abuser","yes","stem-prefix-candidate","setup-classifier","Mental Health Practice","substance abuse","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abusers","yes","stem-prefix-candidate","setup-classifier","Mental Health Practice","substance abuse","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"abuses","yes","stem-prefix-candidate","setup-classifier","Mental Health Practice","substance abuse","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academic","yes","phrase-token","setup-classifier","Tutoring Center","academic coaching","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academical","yes","stem-prefix-candidate","setup-classifier","Tutoring Center","academic coaching","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academicalism","yes","stem-prefix-candidate","setup-classifier","Tutoring Center","academic coaching","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academically","yes","stem-prefix-candidate","setup-classifier","Tutoring Center","academic coaching","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academicals","yes","stem-prefix-candidate","setup-classifier","Tutoring Center","academic coaching","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academician","yes","stem-prefix-candidate","setup-classifier","Tutoring Center","academic coaching","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academicians","yes","stem-prefix-candidate","setup-classifier","Tutoring Center","academic coaching","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academicism","yes","stem-prefix-candidate","setup-classifier","Tutoring Center","academic coaching","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academicisms","yes","stem-prefix-candidate","setup-classifier","Tutoring Center","academic coaching","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academics","yes","stem-prefix-candidate","setup-classifier","Tutoring Center","academic coaching","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academy","yes","exact","setup-classifier","Private School","academy","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academy","yes","exact","registry-reserved-word","education","academy","reserved-regex","registry-api/src/reservedWords.ts"
"academy","yes","phrase-token","setup-classifier","Private School","academy","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"academy","yes","phrase-token","registry-reserved-word","education","academy","reserved-regex","registry-api/src/reservedWords.ts"
"accommodation","yes","exact","setup-classifier","Hotel / Motel / Inn","accommodations","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accommodational","yes","stem-prefix-candidate","setup-classifier","Hotel / Motel / Inn","accommodations","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accommodationist","yes","stem-prefix-candidate","setup-classifier","Hotel / Motel / Inn","accommodations","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accommodationists","yes","stem-prefix-candidate","setup-classifier","Hotel / Motel / Inn","accommodations","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
"accommodations","yes","exact","setup-classifier","Hotel / Motel / Inn","accommodations","keyword","desk-api/src/routes/functions/analyzeBusinessSetup.ts"
